Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.00;0.00;69.30;0.00;0.00;0.00;9.29;0.00;0.00;0.00;0.00
0.47;0.00;68.81;0.00;0.00;0.00;8.80;0.00;0.00;0.00;14.00
0.00;0.00;68.81;0.00;0.00;0.00;8.80;0.00;0.00;0.00;0.00
0.00;0.00;68.81;0.00;0.00;0.00;8.80;0.00;0.00;0.00;0.00
0.00;0.00;68.81;0.00;0.00;0.00;8.80;0.00;0.00;0.00;0.00
0.69;0.00;68.09;0.00;0.00;0.00;8.08;0.00;0.00;0.00;14.00
0.00;0.00;68.09;0.00;0.00;0.00;8.08;0.00;0.00;0.00;0.00
0.00;0.00;68.09;0.00;0.00;0.00;8.08;0.00;0.00;0.00;0.00
0.36;0.00;67.71;0.00;0.00;0.00;7.70;0.00;0.00;0.00;14.00
0.00;11.00;69.30;1.59;1.67;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
0.00;11.00;69.30;0.00;0.00;0.00;7.70;0.00;0.00;0.00;8.00
