Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;15.96;0.00;0.00;0.00;0.00
2.32;0.00;53.37;0.00;0.00;0.00;13.52;0.00;0.00;0.00;14.00
2.32;0.00;50.93;0.00;0.00;0.00;11.08;0.00;0.00;0.00;14.00
2.32;0.00;48.50;0.00;0.00;0.00;8.64;0.00;0.00;0.00;14.00
2.32;0.00;46.06;0.00;0.00;0.00;6.20;0.00;0.00;0.00;14.00
0.00;5.00;46.86;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;47.65;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;48.44;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;49.23;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;50.02;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;50.81;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;51.61;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;52.40;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;53.19;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;53.98;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;54.77;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.56;0.79;0.00;0.83;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.24;0.00;0.25;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;5.00;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
