Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00
1.21;0.00;54.53;0.00;0.00;0.00;10.41;0.00;0.00;0.00;14.00
