Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.56;0.36;0.37;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;7.14;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;7.73;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;8.31;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;8.90;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;9.49;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;10.07;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;10.66;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;11.24;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;11.83;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;12.41;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;13.00;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;13.59;0.59;0.62;0.00;8.00
0.69;0.00;55.07;0.00;0.00;0.00;12.86;0.00;0.00;0.00;14.00
0.94;0.00;54.09;0.00;0.00;0.00;11.87;0.00;0.00;0.00;14.00
0.94;0.00;53.10;0.00;0.00;0.00;10.88;0.00;0.00;0.00;14.00
0.94;0.00;52.12;0.00;0.00;0.00;9.89;0.00;0.00;0.00;14.00
0.94;0.00;51.13;0.00;0.00;0.00;8.91;0.00;0.00;0.00;14.00
0.94;0.00;50.15;0.00;0.00;0.00;7.92;0.00;0.00;0.00;14.00
0.94;0.00;49.16;0.00;0.00;0.00;6.93;0.00;0.00;0.00;14.00
0.69;0.00;48.43;0.00;0.00;0.00;6.20;0.00;0.00;0.00;14.00
0.00;3.70;49.02;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;49.60;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;50.19;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;50.78;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;51.36;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;51.95;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;52.53;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;53.12;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;53.70;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;54.29;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;54.88;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.46;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.80;0.34;0.00;0.35;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;1.00
