Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
0.00;0.00;36.90;0.00;0.00;0.00;8.03;0.00;0.00;0.00;0.00
