Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.20;0.00;0.00;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;6.58;0.38;0.40;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;7.16;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;7.75;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;8.34;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;8.92;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;9.51;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;10.09;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;10.68;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;11.26;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;11.85;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;12.44;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;13.02;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;13.61;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;14.19;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;14.78;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;15.37;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;15.95;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;16.54;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;17.12;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;17.71;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;18.29;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;18.88;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;19.47;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;20.05;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;20.64;0.59;0.62;0.00;8.00
0.00;3.70;55.80;0.00;0.00;0.00;21.22;0.59;0.62;0.00;8.00
1.28;0.00;54.46;0.00;0.00;0.00;19.88;0.00;0.00;0.00;14.00
1.28;0.00;53.12;0.00;0.00;0.00;18.54;0.00;0.00;0.00;14.00
1.28;0.00;51.78;0.00;0.00;0.00;17.19;0.00;0.00;0.00;14.00
1.28;0.00;50.44;0.00;0.00;0.00;15.85;0.00;0.00;0.00;14.00
1.28;0.00;49.10;0.00;0.00;0.00;14.51;0.00;0.00;0.00;14.00
1.28;0.00;47.76;0.00;0.00;0.00;13.16;0.00;0.00;0.00;14.00
1.28;0.00;46.42;0.00;0.00;0.00;11.82;0.00;0.00;0.00;14.00
1.28;0.00;45.08;0.00;0.00;0.00;10.48;0.00;0.00;0.00;14.00
1.28;0.00;43.74;0.00;0.00;0.00;9.13;0.00;0.00;0.00;14.00
1.28;0.00;42.40;0.00;0.00;0.00;7.79;0.00;0.00;0.00;14.00
1.28;0.00;41.06;0.00;0.00;0.00;6.45;0.00;0.00;0.00;14.00
0.23;0.00;40.81;0.00;0.00;0.00;6.20;0.00;0.00;0.00;14.00
0.00;3.70;41.40;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;41.99;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;42.57;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;43.16;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;43.74;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;44.33;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;44.91;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;45.50;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;46.09;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;46.67;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;47.26;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;47.84;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;48.43;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;49.02;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
0.00;3.70;49.60;0.59;0.00;0.62;6.20;0.00;0.00;0.00;1.00
