Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
0.00;0.00;55.80;0.00;0.00;0.00;10.72;0.00;0.00;0.00;0.00
1.24;0.00;54.50;0.00;0.00;0.00;9.42;0.00;0.00;0.00;14.00
1.53;0.00;52.90;0.00;0.00;0.00;7.81;0.00;0.00;0.00;14.00
