Consumption;Possible Charging power;State-of-charge MAX;Charging energy MAX;Home demand MAX;Work demand MAX;State-of-charge MIN;Charging energy MIN;Home demand MIN;Work demand MIN;States
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;21.77;0.00;0.00;0.00;0.00
1.82;0.00;34.18;0.00;0.00;0.00;19.86;0.00;0.00;0.00;14.00
2.21;0.00;31.95;0.00;0.00;0.00;17.53;0.00;0.00;0.00;14.00
2.21;0.00;29.81;0.00;0.00;0.00;15.21;0.00;0.00;0.00;14.00
2.21;0.00;27.66;0.00;0.00;0.00;12.88;0.00;0.00;0.00;14.00
2.21;0.00;25.52;0.00;0.00;0.00;10.56;0.00;0.00;0.00;14.00
2.21;0.00;23.38;0.00;0.00;0.00;8.24;0.00;0.00;0.00;14.00
2.21;0.00;21.23;0.00;0.00;0.00;5.91;0.00;0.00;0.00;14.00
1.82;0.00;19.50;0.00;0.00;0.00;4.00;0.00;0.00;0.00;14.00
0.00;5.00;20.29;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;21.08;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;21.87;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;22.67;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;23.46;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;24.25;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;25.04;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;25.83;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;26.62;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;27.42;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;28.21;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;29.00;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;29.79;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;30.58;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;31.37;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;32.17;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;32.96;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;33.75;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;34.54;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;35.33;0.79;0.00;0.83;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.67;0.00;0.70;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;1.00
0.00;5.00;36.00;0.00;0.00;0.00;4.79;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;5.58;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;6.37;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;7.16;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;7.96;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;8.75;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;9.54;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;10.33;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;11.12;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;11.91;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;12.71;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;13.50;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;14.29;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;15.08;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;15.87;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;16.66;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;17.46;0.79;0.00;0.83;1.00
0.00;5.00;36.00;0.00;0.00;0.00;18.25;0.79;0.00;0.83;1.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
0.00;0.00;36.00;0.00;0.00;0.00;18.25;0.00;0.00;0.00;0.00
2.34;0.00;33.72;0.00;0.00;0.00;15.79;0.00;0.00;0.00;14.00
2.56;0.00;31.21;0.00;0.00;0.00;13.09;0.00;0.00;0.00;14.00
2.56;0.00;28.70;0.00;0.00;0.00;10.40;0.00;0.00;0.00;14.00
2.56;0.00;26.19;0.00;0.00;0.00;7.71;0.00;0.00;0.00;14.00
2.56;0.00;23.67;0.00;0.00;0.00;5.01;0.00;0.00;0.00;14.00
0.96;0.00;22.84;0.00;0.00;0.00;4.00;0.00;0.00;0.00;14.00
0.00;11.00;24.58;1.74;1.83;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;26.32;1.74;1.83;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;28.06;1.74;1.83;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;29.80;1.74;1.83;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;31.55;1.74;1.83;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;33.29;1.74;1.83;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;35.03;1.74;1.83;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;36.00;0.97;1.02;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;8.00
0.00;11.00;36.00;0.00;0.00;0.00;4.00;0.00;0.00;0.00;8.00
